RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,CountyName,Date,RentIndex,Fecha_ES,Year,MedianIncome,RentIndexPct
20859,52,Tulsa,city,OK,OK,"Tulsa, OK",Tulsa County,2015-01-31,739.8471854794113,Ene 2015,2015,3523.6666666666665,20.996514581763638
5983,53,Minneapolis,city,MN,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",Hennepin County,2015-01-31,1163.8180901517778,Ene 2015,2015,4290.0,27.12862681006475
16846,54,Aurora,city,CO,CO,"Denver-Aurora-Lakewood, CO",Arapahoe County,2015-01-31,1052.9390722344976,Ene 2015,2015,4417.583333333333,23.835183012608653
25428,57,Knoxville,city,TN,TN,"Knoxville, TN",Knox County,2015-01-31,861.8281755304055,Ene 2015,2015,2852.1666666666665,30.216613411923294
50763,58,Arlington,city,TX,TX,"Dallas-Fort Worth-Arlington, TX",Tarrant County,2015-01-31,881.4552436574577,Ene 2015,2015,4443.833333333333,19.835470359467227
44055,59,Baton Rouge,city,LA,LA,"Baton Rouge, LA",East Baton Rouge Parish,2015-01-31,972.5376333192104,Ene 2015,2015,3323.0,29.266856253963596
19594,60,New Orleans,city,LA,LA,"New Orleans-Metairie, LA",Orleans Parish,2015-01-31,1160.4523466671455,Ene 2015,2015,3066.0,37.84906544902628
7929,61,Wichita,city,KS,KS,"Wichita, KS",Sedgwick County,2015-01-31,728.2437411888365,Ene 2015,2015,3828.9166666666665,19.01957667370239
24115,62,Cleveland,city,OH,OH,"Cleveland-Elyria, OH",Cuyahoga County,2015-01-31,698.1385888035704,Ene 2015,2015,2179.1666666666665,32.036952449877035
47401,63,Riverside,city,CA,CA,"Riverside-San Bernardino-Ontario, CA",Riverside County,2015-01-31,1212.311979808014,Ene 2015,2015,4766.333333333333,25.434897121645168
16764,64,Anaheim,city,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",Orange County,2015-01-31,1564.9129613425578,Ene 2015,2015,5062.666666666667,30.91084332385879
48215,65,Vancouver,city,WA,WA,"Portland-Vancouver-Hillsboro, OR-WA",Clark County,2015-01-31,1031.070869752188,Ene 2015,2015,4218.833333333333,24.43971563431094
7266,67,Stockton,city,CA,CA,"Stockton, CA",San Joaquin County,2015-01-31,917.382142780958,Ene 2015,2015,3733.0833333333335,24.574381573256012
12562,68,Marietta,city,GA,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Cobb County,2015-01-31,943.5576642904164,Ene 2015,2015,3746.0833333333335,25.187845019208943
4174,69,Columbia,city,SC,SC,"Columbia, SC",Richland County,2015-01-31,798.2691557574067,Ene 2015,2015,3438.3333333333335,23.21674713787901
11722,70,Greensboro,city,NC,NC,"Greensboro-High Point, NC",Guilford County,2015-01-31,755.2980059389402,Ene 2015,2015,3469.0,21.77278771804382
18170,71,Fort Wayne,city,IN,IN,"Fort Wayne, IN",Allen County,2015-01-31,633.9008936734715,Ene 2015,2015,3647.8333333333335,17.377463160966915
19533,73,Naples,city,FL,FL,"Naples-Marco Island, FL",Collier County,2015-01-31,1411.7354410635376,Ene 2015,2015,6626.25,21.305194356740806
11867,74,Henderson,city,NV,NV,"Las Vegas-Henderson-Paradise, NV",Clark County,2015-01-31,1046.990203430979,Ene 2015,2015,5260.0,19.90475671922013
38025,75,Corpus Christi,city,TX,TX,"Corpus Christi, TX",Nueces County,2015-01-31,1060.862673304231,Ene 2015,2015,4221.5,25.129993445558004
47568,77,Santa Ana,city,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",Orange County,2015-01-31,1540.3592802430287,Ene 2015,2015,4354.416666666667,35.37464138502352
24457,78,Durham,city,NC,NC,"Durham-Chapel Hill, NC",Durham County,2015-01-31,1000.1296406234128,Ene 2015,2015,4201.666666666667,23.80316479071986
20604,81,Spokane,city,WA,WA,"Spokane-Spokane Valley, WA",Spokane County,2015-01-31,701.1004143294141,Ene 2015,2015,3532.1666666666665,19.849018477688315
12970,82,Newark,city,NJ,NJ,"New York-Newark-Jersey City, NY-NJ-PA",Essex County,2015-01-31,1089.6501431629897,Ene 2015,2015,2761.5833333333335,39.45744204096646
13478,83,Reno,city,NV,NV,"Reno, NV",Washoe County,2015-01-31,932.0598524690654,Ene 2015,2015,3917.6666666666665,23.791198480449218
52650,85,Irvine,city,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",Orange County,2015-01-31,2156.217313478728,Ene 2015,2015,7689.833333333333,28.03984455855647
34303,87,Toledo,city,OH,OH,"Toledo, OH",Lucas County,2015-01-31,594.8512012270094,Ene 2015,2015,2807.25,21.18981926180459
17384,88,Chandler,city,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",Maricopa County,2015-01-31,1049.6020816118885,Ene 2015,2015,6057.916666666667,17.32612281359469
47945,89,Tallahassee,city,FL,FL,"Tallahassee, FL",Leon County,2015-01-31,846.9197810664325,Ene 2015,2015,3306.75,25.611847919148182
53915,91,Plano,city,TX,TX,"Dallas-Fort Worth-Arlington, TX",Collin County,2015-01-31,1162.957019174412,Ene 2015,2015,6982.75,16.6547136754776
53060,92,Lubbock,city,TX,TX,"Lubbock, TX",Lubbock County,2015-01-31,972.2020626140398,Ene 2015,2015,3720.6666666666665,26.129781292260525
25934,93,Modesto,city,CA,CA,"Modesto, CA",Stanislaus County,2015-01-31,989.0523776765484,Ene 2015,2015,4048.0833333333335,24.432609119786278
18800,94,Katy,city,TX,TX,"Houston-The Woodlands-Sugar Land, TX",Harris County,2015-01-31,1382.2893597073496,Ene 2015,2015,5877.166666666667,23.519655611388984
5573,95,Lawrenceville,city,GA,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County,2015-01-31,1073.304211755554,Ene 2015,2015,3478.5833333333335,30.85463560612952
51405,96,Chula Vista,city,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,2015-01-31,1612.2656358306283,Ene 2015,2015,5432.083333333333,29.680428979009804
3737,97,Boise,city,ID,ID,"Boise City, ID",Ada County,2015-01-31,844.4487635971086,Ene 2015,2015,4193.583333333333,20.136687326203333
6752,98,Richmond,city,VA,VA,"Richmond, VA",Richmond City,2015-01-31,858.8485200239312,Ene 2015,2015,3396.5,25.28628058365762
6181,0,New York,city,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,2015-02-28,2508.88485463275,Feb 2015,2015,4447.75,56.40795581210162
12447,1,Los Angeles,city,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2015-02-28,1766.440189864335,Feb 2015,2015,4183.75,42.22145658474658
39051,2,Houston,city,TX,TX,"Houston-The Woodlands-Sugar Land, TX",Harris County,2015-02-28,1158.1177612532,Feb 2015,2015,3848.9166666666665,30.08944753943404
17426,3,Chicago,city,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,2015-02-28,1507.1729511236729,Feb 2015,2015,4043.5,37.27396936128782
6915,4,San Antonio,city,TX,TX,"San Antonio-New Braunfels, TX",Bexar County,2015-02-28,981.284067861706,Feb 2015,2015,3895.3333333333335,25.191273349179514
13271,5,Philadelphia,city,PA,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,2015-02-28,1160.4248601412874,Feb 2015,2015,3187.75,36.40263070006391
40326,6,Phoenix,city,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",Maricopa County,2015-02-28,824.4654642037369,Feb 2015,2015,3943.8333333333335,20.90518017674184
18959,7,Las Vegas,city,NV,NV,"Las Vegas-Henderson-Paradise, NV",Clark County,2015-02-28,952.911584146364,Feb 2015,2015,4183.5,22.777855483359964
54296,8,San Diego,city,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,2015-02-28,1641.3853903323052,Feb 2015,2015,5509.666666666667,29.79101077498285
38128,9,Dallas,city,TX,TX,"Dallas-Fort Worth-Arlington, TX",Dallas County,2015-02-28,1015.5605318411932,Feb 2015,2015,3648.4166666666665,27.83565104062109
10221,10,Austin,city,TX,TX,"Austin-Round Rock-Georgetown, TX",Travis County,2015-02-28,1142.7827246141992,Feb 2015,2015,4807.416666666667,23.77124355660592
33839,11,San Jose,city,CA,CA,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County,2015-02-28,2289.1436704427283,Feb 2015,2015,7053.916666666667,32.45209404386776
25290,12,Jacksonville,city,FL,FL,"Jacksonville, FL",Duval County,2015-02-28,941.0115937260352,Feb 2015,2015,3897.0,24.147077077906985
24043,13,Charlotte,city,NC,NC,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,2015-02-28,991.1038972287204,Feb 2015,2015,4469.75,22.173586827646297
18172,15,Fort Worth,city,TX,TX,"Dallas-Fort Worth-Arlington, TX",Tarrant County,2015-02-28,966.5459009636724,Feb 2015,2015,4434.5,21.796051436772405
13121,16,Orlando,city,FL,FL,"Orlando-Kissimmee-Sanford, FL",Orange County,2015-02-28,1061.5506394290564,Feb 2015,2015,3526.5,30.102102351596667
20330,17,San Francisco,city,CA,CA,"San Francisco-Oakland-Berkeley, CA",San Francisco County,2015-02-28,2968.564929782437,Feb 2015,2015,6774.5,43.81969045364878
7481,18,Tucson,city,AZ,AZ,"Tucson, AZ",Pima County,2015-02-28,774.7392576337254,Feb 2015,2015,3095.75,25.025898655696533
10920,19,Columbus,city,OH,OH,"Columbus, OH",Franklin County,2015-02-28,807.174071098894,Feb 2015,2015,3804.9166666666665,21.213975017382616
12700,20,Miami,city,FL,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Miami-Dade County,2015-02-28,1686.5747540904829,Feb 2015,2015,2587.5833333333335,65.1795338284944
