NAME,B19013_001E,state,place
"Hobart city, Indiana",58366,18,34114
"Lawrence city, Indiana",50107,18,42426
"Richmond city, Indiana",33381,18,64260
"Connersville city, Indiana",33902,18,14932
"Valparaiso city, Indiana",52507,18,78326
"Gas City city, Indiana",42829,18,27054
"Marion city, Indiana",32879,18,46908
"Scottsburg city, Indiana",46090,18,68526
"Angola city, Indiana",41568,18,01666
"Columbia City city, Indiana",46611,18,14716
"Union City city, Indiana",31587,18,77768
"Sageville city, Iowa",45625,19,69690
"Truesdale city, Iowa",41071,19,79095
"Monona city, Iowa",48819,19,53310
"Volga city, Iowa",41250,19,81345
"Dedham city, Iowa",50417,19,19450
"Floris city, Iowa",46875,19,27975
"Wiota city, Iowa",45000,19,86610
"Dumont city, Iowa",42708,19,22620
"Readlyn city, Iowa",67917,19,65910
"Linden city, Iowa",54375,19,45390
"Redfield city, Iowa",52375,19,66045
"Garrison city, Iowa",51250,19,30000
"Harris city, Iowa",32188,19,34635
"Forest City city, Iowa",47198,19,28380
"Ossian city, Iowa",53478,19,59970
"Nemaha city, Iowa",-666666666,19,55515
"Cedar Falls city, Iowa",58855,19,11755
"Correctionville city, Iowa",41181,19,16545
"Sioux City city, Iowa",48559,19,73335
"Dallas Center city, Iowa",70772,19,18255
"Chillicothe city, Iowa",37500,19,13215
"Fremont city, Iowa",44821,19,29190
"Webb city, Iowa",51071,19,83010
"Boone city, Iowa",50323,19,07480
"Terril city, Iowa",52083,19,77520
"Bertram city, Iowa",89688,19,06175
"Nichols city, Iowa",51250,19,56685
"Northboro city, Iowa",35625,19,57045
"Grand Junction city, Iowa",45893,19,31980
"Carlisle city, Iowa",68568,19,10765
"Knierim city, Iowa",56667,19,41790
"Sheldon city, Iowa",50611,19,72390
"Halbur city, Iowa",61875,19,33645
"University Park city, Iowa",44464,19,79815
"Frederika city, Iowa",43750,19,29010
"Somers city, Iowa",47500,19,73920
"Rossie city, Iowa",48750,19,68925
"Galt city, Iowa",103438,19,29550
"Garwin city, Iowa",45625,19,30045
"Malcom city, Iowa",45000,19,48540
"Ventura city, Iowa",69792,19,80580
"Thornton city, Iowa",44500,19,77880
"Waucoma city, Iowa",40000,19,82650
"Van Wert city, Iowa",34583,19,80490
"Silver City city, Iowa",71250,19,73155
"Stanwood city, Iowa",52917,19,75045
"Fontanelle city, Iowa",41477,19,28290
"Bagley city, Iowa",46719,19,04240
"Pleasanton city, Iowa",-666666666,19,63570
"Lu Verne city, Iowa",38750,19,47370
"Walcott city, Iowa",48073,19,81705
"Hopkinton city, Iowa",45568,19,37155
"Macksburg city, Iowa",25000,19,48180
"Mount Union city, Iowa",36750,19,54795
"Peterson city, Iowa",44286,19,62625
"Clarksville city, Iowa",44271,19,13755
"Perry city, Iowa",42442,19,62355
"Drakesville city, Iowa",32188,19,22350
"Rowan city, Iowa",32361,19,69015
"Calamus city, Iowa",52279,19,09820
"Houghton city, Iowa",68750,19,37335
"Red Oak city, Iowa",34966,19,66135
"Solon city, Iowa",71750,19,73875
"Harpers Ferry city, Iowa",44167,19,34590
"Olin city, Iowa",44464,19,58980
"Tabor city, Iowa",56731,19,76935
"Aurelia city, Iowa",64028,19,03745
"Marcus city, Iowa",53654,19,49350
"Holstein city, Iowa",53750,19,36840
"Lakeside city, Iowa",70263,19,42645
"Newell city, Iowa",60882,19,55965
"Rembrandt city, Iowa",43125,19,66360
"Ricketts city, Iowa",45750,19,66855
"Carpenter city, Iowa",38750,19,11035
"Grimes city, Iowa",92250,19,33060
"Brooklyn city, Iowa",54063,19,08695
"Beaconsfield city, Iowa",20625,19,05095
"Audubon city, Iowa",39205,19,03655
"Waukon city, Iowa",42083,19,82740
"Deloit city, Iowa",33125,19,19765
"Schleswig city, Iowa",53000,19,71130
"Lone Tree city, Iowa",64583,19,46335
"Hamilton city, Iowa",41250,19,33870
"Clio city, Iowa",-666666666,19,14475
"Grinnell city, Iowa",44525,19,33105
"Graettinger city, Iowa",41563,19,31800
"West Bend city, Iowa",47417,19,83550
"Roland city, Iowa",75781,19,68475
"Clearfield city, Iowa",34750,19,13980
"Redding city, Iowa",60625,19,66000
"Huxley city, Iowa",65357,19,37920
"Sheldahl city, Iowa",64479,19,72345
"Princeton city, Iowa",73500,19,64740
"La Motte city, Iowa",62188,19,43050
"Maquoketa city, Iowa",46173,19,49215
"Preston city, Iowa",50673,19,64605
"Sabula city, Iowa",50855,19,69510
"Zwingle city, Iowa",47750,19,87690
"New Market city, Iowa",41719,19,56370
"Moorland city, Iowa",45625,19,53895
"Vincent city, Iowa",52500,19,81075
"Marengo city, Iowa",46625,19,49395
"Ayrshire city, Iowa",21607,19,04105
"Carter Lake city, Iowa",62966,19,11215
"Hospers city, Iowa",62875,19,37290
"Orange City city, Iowa",71843,19,59475
"Rock Valley city, Iowa",62200,19,68205
"Oakland city, Iowa",66023,19,58080
"New Sharon city, Iowa",58625,19,56460
"Luxemburg city, Iowa",49444,19,47460
"Farmersburg city, Iowa",40833,19,26850
"Lowden city, Iowa",56042,19,46920
"Exline city, Iowa",37143,19,26310
"Bonaparte city, Iowa",31125,19,07345
"Alburnett city, Iowa",74000,19,01000
"Wahpeton city, Iowa",75000,19,81615
"Hanlontown city, Iowa",56500,19,34185
"Kensett city, Iowa",31667,19,40665
"Randalia city, Iowa",36875,19,65550
"Sumner city, Iowa",56420,19,76260
"Ellsworth city, Iowa",61000,19,25050
"Coggon city, Iowa",51875,19,14925
"Robins city, Iowa",120938,19,67800
"Leon city, Iowa",41193,19,44535
"Webster City city, Iowa",46324,19,83145
"Rathbun city, Iowa",41250,19,65730
"Carbon city, Iowa",50417,19,10585
"Prescott city, Iowa",37396,19,64560
"Panama city, Iowa",65000,19,61275
"Granville city, Iowa",63250,19,32475
"Ireton city, Iowa",54375,19,38820
"Chase city, Kansas",37366,20,12650
"Frederick city, Kansas",18125,20,24550
"Niotaze city, Kansas",30625,20,50750
"Lehigh city, Kansas",54688,20,39225
"Moundridge city, Kansas",48750,20,48800
"Bronson city, Kansas",29375,20,08475
"Tampa city, Kansas",46250,20,70000
"Barnes city, Kansas",36250,20,04250
"Latimer city, Kansas",60000,20,38800
"Edgerton city, Kansas",53882,20,19825
"Gardner city, Kansas",71945,20,25425
"Herndon city, Kansas",27344,20,31475
"Dighton city, Kansas",52639,20,18050
"Horace city, Kansas",33750,20,33150
"Goessel city, Kansas",50625,20,26750
"Ramona city, Kansas",35625,20,58375
"Udall city, Kansas",47292,20,71950
